+00:00:00 - 2022-12-13 00:11:40,462 - WARNING  : НАЧАЛО
+00:00:13 - 2022-12-13 00:11:53,594 - INFO     : Выгрузка в xml. Старт
+00:03:29 - 2022-12-13 00:15:09,441 - INFO     : Выгрузка в xml. Завершено
+00:03:29 - 2022-12-13 00:15:09,441 - INFO     : Импорт конфигурации в 1с. Старт
+00:06:10 - 2022-12-13 00:17:51,094 - INFO     : Импорт конфигурации в 1с. Завершено
+00:06:10 - 2022-12-13 00:17:51,096 - INFO     : Обновление конфигурации в 1с. Старт
+00:08:52 - 2022-12-13 00:20:32,919 - INFO     : Обновление конфигурации в 1с. Завершено
+00:08:52 - 2022-12-13 00:20:32,919 - WARNING  : КОНЕЦ
+00:00:08 - 2022-12-13 01:01:50,672 - WARNING  : НАЧАЛО
+00:00:08 - 2022-12-13 01:01:50,684 - INFO     : Выгрузка в xml. Старт
+00:00:08 - 2022-12-13 01:01:51,442 - INFO     : Выгрузка в xml. Завершено
+00:00:08 - 2022-12-13 01:01:51,442 - INFO     : Импорт конфигурации в 1с. Старт
+00:00:08 - 2022-12-13 01:01:51,451 - INFO     : Импорт конфигурации в 1с. Завершено
+00:00:08 - 2022-12-13 01:01:51,452 - INFO     : Обновление конфигурации в 1с. Старт
+00:00:08 - 2022-12-13 01:01:51,463 - INFO     : Обновление конфигурации в 1с. Завершено
+00:00:08 - 2022-12-13 01:01:51,463 - WARNING  : КОНЕЦ
+00:00:41 - 2022-12-13 01:04:21,451 - WARNING  : НАЧАЛО
+00:00:41 - 2022-12-13 01:04:21,463 - INFO     : Выгрузка в xml. Старт
+00:00:15 - 2022-12-13 01:11:17,460 - WARNING  : НАЧАЛО
+00:00:15 - 2022-12-13 01:11:17,472 - INFO     : Выгрузка в xml. Старт
+00:00:15 - 2022-12-13 01:11:17,472 - ERROR    : unsupported operand type(s) for +: 'NoneType' and 'str'
+00:00:15 - 2022-12-13 01:11:17,472 - WARNING  : КОНЕЦ
+00:00:00 - 2022-12-13 01:15:08,503 - WARNING  : НАЧАЛО
+00:00:00 - 2022-12-13 01:15:08,511 - INFO     : Выгрузка в xml. Старт
+00:00:08 - 2022-12-13 01:41:05,494 - INFO     : -----------------------------------------------------------------------------------------
+00:00:08 - 2022-12-13 01:41:05,494 - WARNING  : НАЧАЛО
+00:00:08 - 2022-12-13 01:41:05,526 - INFO     : Выгрузка в xml. Старт
+00:00:09 - 2022-12-13 01:41:06,853 - INFO     : Выгрузка в xml. Завершено
+00:00:09 - 2022-12-13 01:41:06,853 - INFO     : Импорт конфигурации в 1с. Старт
+00:00:02 - 2022-12-13 01:42:56,764 - INFO     : -----------------------------------------------------------------------------------------
+00:00:02 - 2022-12-13 01:42:56,765 - WARNING  : НАЧАЛО
+00:00:02 - 2022-12-13 01:42:56,779 - INFO     : Выгрузка в xml. Старт
+00:00:04 - 2022-12-13 01:44:18,007 - INFO     : -----------------------------------------------------------------------------------------
+00:00:04 - 2022-12-13 01:44:18,008 - WARNING  : НАЧАЛО
+00:00:04 - 2022-12-13 01:44:18,028 - INFO     : Выгрузка в xml. Старт
+00:00:00 - 2022-12-13 01:46:03,481 - INFO     : -----------------------------------------------------------------------------------------
+00:00:00 - 2022-12-13 01:46:03,481 - WARNING  : НАЧАЛО
+00:00:00 - 2022-12-13 01:46:03,492 - INFO     : Выгрузка в xml. Старт
+00:00:00 - 2022-12-13 01:46:18,214 - INFO     : -----------------------------------------------------------------------------------------
+00:00:00 - 2022-12-13 01:46:18,215 - WARNING  : НАЧАЛО
+00:00:00 - 2022-12-13 01:46:18,227 - INFO     : Выгрузка в xml. Старт
+00:00:00 - 2022-12-13 01:46:34,615 - INFO     : -----------------------------------------------------------------------------------------
+00:00:00 - 2022-12-13 01:46:34,616 - WARNING  : НАЧАЛО
+00:00:00 - 2022-12-13 01:46:34,627 - INFO     : Выгрузка в xml. Старт
+00:00:00 - 2022-12-13 01:48:03,686 - INFO     : -----------------------------------------------------------------------------------------
+00:00:00 - 2022-12-13 01:48:03,687 - WARNING  : НАЧАЛО
+00:00:00 - 2022-12-13 01:48:03,698 - INFO     : Выгрузка в xml. Старт
